;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.075;0.0375;0.09;0.0525;0.0375;0.09;0.045;0.015;0.0;0.0225;0.0075;0.0075;0.0;0.0075;0.0075;0.015;0.0;0.015;0.0;0.0
1;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.12;0.0075;0.015;0.0;0.015;0.0;0.0225;0.0075;0.0075;0.0375;0.0;0.0;0.0075;0.015;0.0;0.0;0.0;0.0;0.015;0.0
2;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.09;0.0;0.0525;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.0;0.015;0.0;0.0;0.0;0.0;0.0075;0.0
3;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0375;0.015;0.0825;0.0;0.015;0.015;0.0075;0.015;0.0;0.0075;0.0;0.0075;0.0;0.0;0.0;0.0;0.0;0.015;0.0;0.0
4;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.0075;0.0;0.06;0.0;0.0;0.0225;0.0;0.045;0.0;0.03;0.0;0.0;0.0;0.015;0.0;0.0;0.0;0.0;0.0
5;0.002;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.015;0.0;0.03;0.0375;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.03;0.0;0.0;0.0
6;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0525;0.0075;0.0075;0.0225;0.015;0.015;0.0225;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0
7;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0225;0.0075;0.015;0.0525;0.0;0.015;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0225;0.0;0.0;0.0;0.0225
8;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.045;0.0;0.0;0.0075;0.0075;0.0;0.0;0.0;0.0;0.03;0.0;0.06;0.0075;0.0;0.0;0.0;0.0;0.0;0.0
9;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.0;0.0;0.0675;0.0;0.0;0.0375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0075;0.0;0.0075
10;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.0;0.0;0.0;0.0075;0.0;0.015;0.045;0.0225;0.0;0.0;0.0;0.0;0.015;0.0075;0.0;0.0;0.0;0.0;0.0
11;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.0075;0.045;0.0;0.0;0.0075;0.0;0.0075;0.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
