database,meangrade,gammaminusbeta,sum_coop,sum_comp,Modularity_eig,Modularity_opt,Modularity_greedy,Struc_Stab
0.0,0.10771935359482063,0.017719353594820575,0.06271935359482063,0.04500000000000001,0.03860764117174367,1.0,0.045620571261596875,1.376176
1.0,0.08446640859721297,-0.005533591402787063,0.03946640859721297,0.04500000000000001,0.11617494580073522,1.0,0.08587048732208503,0.8053855
2.0,0.09902437840788728,0.009024378407887213,0.05402437840788724,0.04500000000000001,-0.012496640687987105,1.0,0.006718624025799501,1.161539
3.0,0.1152463782886505,0.025246378288650374,0.07024637828865046,0.04500000000000001,0.014537219665424731,1.0,0.030316312367594408,1.626147
4.0,0.11941628848781238,0.02941628848781237,0.07441628848781236,0.04500000000000001,0.027562958556414857,1.0,0.026075748562363672,1.802493
5.0,0.09368357680637898,0.0036835768063790296,0.04868357680637897,0.04500000000000001,0.09402567909861126,1.0,0.08101144204734038,0.975471
6.0,0.11905960577152093,0.029059605771520846,0.07405960577152092,0.04500000000000001,0.008434898929845433,1.0,0.015271997621878718,1.789618
7.0,0.10366438550720565,0.013664385507205612,0.05866438550720565,0.04500000000000001,0.035365226337448576,1.0,0.05405521262002742,1.259628
8.0,0.051817924473775,-0.03818207552622503,0.0068179244737749944,0.04500000000000001,0.32156032986111105,1.0,0.32156032986111105,0.3778456
9.0,0.1368533155688575,0.04685331556885748,0.09185331556885748,0.04500000000000001,0.0013439999999999876,1.0,0.007904000000000022,2.852763
10.0,0.09060393178542918,0.0006039317854290793,0.04560393178542919,0.04500000000000001,0.08643349612180405,1.0,0.02969692617064057,0.9413137
11.0,0.08084935818035252,-0.009150641819647466,0.03584935818035253,0.04500000000000001,0.13743558389378985,1.0,0.13743558389378985,0.752973
12.0,0.10996923299235084,0.01996923299235078,0.06496923299235087,0.04500000000000001,0.03466854934601663,1.0,0.021365933412604045,1.460236
13.0,0.06745232364748982,-0.022547676352510225,0.02245232364748982,0.04500000000000001,0.31499999999999995,1.0,0.14179999999999998,0.5196038
14.0,0.1319405739346169,0.04194057393461685,0.08694057393461693,0.04500000000000001,0.043335124966406846,1.0,0.04189062080085995,2.62161
15.0,0.07201677275647819,-0.01798322724352195,0.02701677275647819,0.04500000000000001,0.08363175823216004,1.0,0.07952659620927593,0.6006011
16.0,0.08180795826773653,-0.008192041732263533,0.03680795826773651,0.04500000000000001,0.04447115384615383,1.0,0.06314718934911244,0.7554753
17.0,0.07645569100824126,-0.013544308991758847,0.03145569100824126,0.04500000000000001,0.12797520661157025,1.0,0.12355371900826446,0.6684824
18.0,0.05544221779273857,-0.0345577822072614,0.010442217792738562,0.04500000000000001,0.3751300728407909,1.0,0.3751300728407909,0.4018863
19.0,0.08378541202526629,-0.006214587974733732,0.03878541202526629,0.04500000000000001,0.07409917091836736,1.0,0.05819515306122448,0.7887243
20.0,0.050869881237711675,-0.03913011876228829,0.005869881237711671,0.04500000000000001,0.4782608695652174,1.0,0.3844517958412098,0.3717974
21.0,0.10071737660747171,0.010717376607471785,0.05571737660747168,0.04500000000000001,0.026882898677770453,1.0,0.04284461976769667,1.184942
22.0,0.1019456716205955,0.011945671620595455,0.056945671620595495,0.04500000000000001,0.016616805411030174,1.0,0.006536160249739858,1.207304
23.0,0.09381708489815617,0.0038170848981560644,0.04881708489815617,0.04500000000000001,0.08987380732533082,1.0,0.08987380732533082,1.033255
24.0,0.0625601797726148,-0.027439820227385246,0.017560179772614808,0.04500000000000001,0.34323520034009997,1.0,0.1535232224465937,0.4815698
25.0,0.11841026494004173,0.028410264940041684,0.0734102649400417,0.04500000000000001,0.00032873109796184054,1.0,0.042296734604426886,1.778677
26.0,0.12882586536275473,0.03882586536275463,0.08382586536275469,0.04500000000000001,0.03586758584807491,1.0,0.0528420915712799,2.326842
27.0,0.09323132013553243,0.0032313201355323785,0.04823132013553243,0.04500000000000001,0.01990649426546862,1.0,0.040689604792168876,1.001096
28.0,0.1317643994116715,0.04176439941167152,0.08676439941167151,0.04500000000000001,0.04016795481569557,1.0,0.047525267538644445,2.466344
29.0,0.1211300327237004,0.031130032723700386,0.07613003272370038,0.04500000000000001,0.03830516581632655,1.0,0.04185267857142856,1.882282
30.0,0.09576993483318907,0.005769934833188906,0.05076993483318907,0.04500000000000001,0.022703626634958375,1.0,0.038607312722948886,1.036727
31.0,0.12657200276579697,0.036572002765796974,0.08157200276579697,0.04500000000000001,0.011967750062988197,1.0,0.006582262534643488,2.185133
32.0,0.08615147987508233,-0.003848520124917698,0.041151479875082324,0.04500000000000001,0.10526315789473686,1.0,0.041897506925207786,0.8586345
33.0,0.08941161231979097,-0.0005883876802090348,0.044411612319790954,0.04500000000000001,0.022847171495820134,1.0,0.015177339501663827,0.9223162
34.0,0.07851040957465519,-0.011489590425344875,0.033510409574655176,0.04500000000000001,0.19660707420222992,1.0,0.10837178008458286,0.7010473
35.0,0.09025481001053848,0.0002548100105384421,0.045254810010538486,0.04500000000000001,0.06545454545454546,1.0,0.02979338842975207,0.9113076
36.0,0.1728641574725108,0.08286415747251086,0.12786415747251081,0.04500000000000001,0.009039256198347105,1.0,-0.005882690541781484,6.8659
37.0,0.10104288285974287,0.011042882859742864,0.05604288285974287,0.04500000000000001,0.03549586776859506,1.0,0.025743801652892542,1.173304
38.0,0.08329992292172114,-0.006700077078278799,0.038299922921721144,0.04500000000000001,0.10255899234693877,1.0,0.0599888392857143,0.7906083
39.0,0.11329251740970223,0.023292517409702194,0.06829251740970223,0.04500000000000001,0.0441272112382934,1.0,0.04123309053069717,1.57748
40.0,0.07597819448616837,-0.01402180551383161,0.030978194486168377,0.04500000000000001,0.0996795173908945,1.0,0.09967951739089453,0.6543836
41.0,0.15222348514268058,0.06222348514268052,0.10722348514268058,0.04500000000000001,0.034942626953125,1.0,0.021636962890625,4.047273
42.0,0.14704249542784384,0.057042495427843856,0.10204249542784385,0.04500000000000001,-0.008026123046875,1.0,-0.003448486328125,3.735452
43.0,0.05120554655390802,-0.038794453446092,0.006205546553908024,0.04500000000000001,0.467741935483871,1.0,0.2924615562492773,0.3738837
44.0,0.0918084611432913,0.001808461143291229,0.04680846114329129,0.04500000000000001,0.061672801315686435,1.0,0.014057482966559634,0.9401148
