database,meangrade,gammaminusbeta,sum_coop,sum_comp,Modularity_eig,Modularity_opt,Modularity_greedy,Struc_Stab
166.0,0.034111363045132945,-0.01588863695486701,0.009111363045132945,0.02499999999999999,0.31685612244897965,1.0,0.05793877551020407,0.3597419
167.0,0.03750035809602112,-0.012499641903978826,0.012500358096021123,0.02499999999999999,0.20917995871645712,1.0,0.04353255770313379,0.4471457
168.0,0.03364297987275548,-0.016357020127244583,0.00864297987275548,0.02499999999999999,0.3031598873695337,1.0,0.07269371779627423,0.3564535
169.0,0.03482320012589565,-0.015176799874104318,0.009823200125895644,0.02499999999999999,0.30769478396458927,1.0,0.07319752527538856,0.3741379
170.0,0.03142988865301299,-0.01857011134698702,0.006429888653012983,0.02499999999999999,0.33606999591023395,1.0,0.09940306819467287,0.3058879
171.0,0.036321974891527414,-0.013678025108472625,0.011321974891527415,0.02499999999999999,0.29491391568386016,1.0,0.04188574351911828,0.4178357
172.0,0.0374812425129027,-0.01251875748709729,0.012481242512902701,0.02499999999999999,0.2645184304399524,1.0,0.038077526753864464,0.4417715
173.0,0.03702362470252337,-0.012976375297476608,0.01202362470252337,0.02499999999999999,0.2711896522205828,1.0,0.04517631352663601,0.4392229
174.0,0.03636208164589282,-0.013637918354107157,0.011362081645892816,0.02499999999999999,0.27914910264560616,1.0,0.06680228862047045,0.4191645
175.0,0.03921706078639814,-0.01078293921360185,0.014217060786398132,0.02499999999999999,0.19743447095717562,1.0,0.038771197332569535,0.4967629
176.0,0.03222168231262586,-0.01777831768737421,0.007221682312625852,0.02499999999999999,0.33030468028185,1.0,0.08340389591180075,0.3206154
177.0,0.031807434266095856,-0.018192565733904188,0.006807434266095854,0.02499999999999999,0.3553740339796243,1.0,0.0302489366455478,0.3125153
178.0,0.031781291650742366,-0.01821870834925761,0.006781291650742366,0.02499999999999999,0.3206038074704853,1.0,0.18202177246709078,0.3160796
179.0,0.03209203549486301,-0.01790796450513696,0.007092035494863011,0.02499999999999999,0.33684205959990543,1.0,0.0636158172483575,0.3198105
180.0,0.03991393170161449,-0.010086068298385556,0.014913931701614478,0.02499999999999999,0.09642353537356514,1.0,0.030951410462614105,0.5221019
181.0,0.041261220609630375,-0.008738779390369586,0.016261220609630377,0.02499999999999999,0.1533687105727084,1.0,0.050857306849720424,0.5674843
182.0,0.03872930510102162,-0.011270694898978419,0.013729305101021619,0.02499999999999999,0.2137387886221382,1.0,0.046019925961633325,0.4846067
183.0,0.04004057243977403,-0.009959427560225933,0.015040572439774027,0.02499999999999999,0.11933893352812278,1.0,0.034611943024105155,0.519174
184.0,0.037246626992410936,-0.012753373007589061,0.012246626992410938,0.02499999999999999,0.23237414562591677,1.0,0.064104389688212,0.4409247
185.0,0.03224480600188201,-0.01775519399811799,0.0072448060018820105,0.02499999999999999,0.33606999591023395,1.0,0.046165409281158386,0.3236026
186.0,0.04178483085984795,-0.008215169140152056,0.016784830859847964,0.02499999999999999,0.04612096104294643,1.0,0.028056873876781525,0.5909687
187.0,0.03819391461577742,-0.011806085384222627,0.013193914615777418,0.02499999999999999,0.24439096313912007,1.0,0.044031391200951266,0.4671723
188.0,0.0448585087147404,-0.005141491285259647,0.01985850871474039,0.02499999999999999,0.04464708985170492,1.0,0.03347905774893336,0.7165197
189.0,0.034792625470101396,-0.0152073745298987,0.009792625470101391,0.02499999999999999,0.2878621021841918,1.0,0.05766978380392296,0.3793385
190.0,0.03166910321836792,-0.01833089678163212,0.006669103218367917,0.02499999999999999,0.3612330389454869,1.0,0.07468917574338066,0.3140007
191.0,0.03397322469481548,-0.016026775305184485,0.008973224694815474,0.02499999999999999,0.3032906021391428,1.0,0.04337240644130345,0.3561431
192.0,0.03614726257270313,-0.013852737427296874,0.011147262572703124,0.02499999999999999,0.2900736937023205,1.0,0.03723786268313703,0.4147426
193.0,0.036631190002858346,-0.013368809997141611,0.011631190002858345,0.02499999999999999,0.2663985708630325,1.0,0.06819334727192794,0.4213042
194.0,0.04193424843192482,-0.008065751568075185,0.016934248431924825,0.02499999999999999,0.06404914616072502,1.0,0.04287206837165711,0.5949212
195.0,0.03559789510195299,-0.014402104898047057,0.010597895101952987,0.02499999999999999,0.28051006854263505,1.0,0.044436053139473755,0.4012968
196.0,0.039139352344003425,-0.010860647655996586,0.01413935234400342,0.02499999999999999,0.21731843043995247,1.0,0.03502211652794295,0.49853
197.0,0.039859745189790886,-0.010140254810209158,0.014859745189790887,0.02499999999999999,0.12902139190547213,1.0,0.04766908513158706,0.5253627
198.0,0.032257768114359486,-0.017742231885640437,0.007257768114359493,0.02499999999999999,0.34110758865356544,1.0,0.0698842970878997,0.3186173
199.0,0.03654385953643426,-0.013456140463565731,0.011543859536434267,0.02499999999999999,0.29684221115638043,1.0,0.07090488406015794,0.4246834
200.0,0.03760861550122202,-0.012391384498778066,0.012608615501222022,0.02499999999999999,0.26862428089664747,1.0,0.049147986510612966,0.4454856
201.0,0.038922130976429894,-0.01107786902357006,0.013922130976429897,0.02499999999999999,0.19935933271562073,1.0,0.03593114374198443,0.4880162
202.0,0.0355539215528842,-0.014446078447115767,0.010553921552884198,0.02499999999999999,0.27604782361161423,1.0,0.03394958853061436,0.3985698
203.0,0.03782038995532632,-0.012179610044673694,0.012820389955326321,0.02499999999999999,0.18494946998407208,1.0,0.04526026096713197,0.4579178
204.0,0.035871217108960754,-0.014128782891039223,0.01087121710896075,0.02499999999999999,0.29943671258300253,1.0,0.07900574072905833,0.3986198
205.0,0.035781343036718496,-0.014218656963281475,0.01078134303671849,0.02499999999999999,0.3161014815769922,1.0,0.03491499198732708,0.3994286
206.0,0.043399172685784394,-0.006600827314215678,0.01839917268578439,0.02499999999999999,0.04566034641649482,1.0,0.032314559154083475,0.6543212
207.0,0.034787795188345655,-0.015212204811654289,0.009787795188345659,0.02499999999999999,0.33177655236543446,1.0,0.04196502059767826,0.3770163
208.0,0.0316451701999878,-0.01835482980001217,0.006645170199987795,0.02499999999999999,0.34427673179475,1.0,0.042854826637289796,0.3084419
209.0,0.038774781689892054,-0.011225218310108006,0.013774781689892057,0.02499999999999999,0.23491253471783866,1.0,0.02916397077389217,0.4809779
210.0,0.03213432615321371,-0.017865673846786265,0.007134326153213713,0.02499999999999999,0.343094529478458,1.0,0.05914735685941046,0.3192328
