database,meangrade,gammaminusbeta,sum_coop,sum_comp,Modularity_eig,Modularity_opt,Modularity_greedy,Struc_Stab
MSD034,0.19729591836734697,0.10729591836734693,0.15229591836734696,0.04500000000000001,-0.008429752066115723,-0.01548209366391183,-0.006740128558310382,15.18392
MSD020,0.10172516472377091,0.01172516472377092,0.05672516472377091,0.04500000000000001,0.06552344195430027,0.09473268716284372,0.09473268716284372,1.334912
MSD008,0.15194444444444447,0.06194444444444436,0.10694444444444447,0.04500000000000001,-0.012773987516330465,-0.0061874002032224935,-0.007421251270140768,4.902144
MSD010,0.13610780984719867,0.046107809847198665,0.09110780984719866,0.04500000000000001,-0.00998046875000004,-0.010937500000000044,-0.018964843750000043,3.202776
MSD003,0.1457142857142857,0.055714285714285695,0.10071428571428571,0.04500000000000001,0.03571005917159764,0.0026331360946744986,0.011479289940828391,3.77337
MSD004,0.13145209580838318,0.04145209580838314,0.08645209580838324,0.04500000000000001,0.020103723559233157,0.02680496474564422,0.02680496474564422,2.614425
MSD033,0.1162248322147651,0.026224832214765036,0.0712248322147651,0.04500000000000001,0.06214857266435985,0.07285358996539794,0.021166738754325235,1.902542
MSD006,0.14736486486486486,0.057364864864864896,0.10236486486486487,0.04500000000000001,0.000747918834547355,0.05115114464099896,0.05115114464099896,3.897136
MSD012,0.18774193548387097,0.09774193548387097,0.14274193548387099,0.04500000000000001,0.02240065586419758,0.006389853395061762,0.006389853395061762,11.80586
MSD005,0.15977272727272726,0.06977272727272724,0.11477272727272728,0.04500000000000001,0.045512322576089254,0.025386625238330674,0.029270531742108637,5.300018
