database,meangrade,gammaminusbeta,sum_coop,sum_comp,Modularity_eig,Modularity_opt,Modularity_greedy,Struc_Stab
0.0,0.16923246594427016,0.0807884141277178,0.125010440035994,0.04422202590827616,0.017448979591836722,0.023877551020408214,0.023877551020408214,7.156723
1.0,0.12752867099179513,0.03844065895095872,0.08298466497137694,0.04454400602041818,-0.0031760125674475774,0.022676046718120374,0.013967625162215683,2.400774
2.0,0.13063259385561427,0.03797958865038975,0.08430609125300195,0.04632650260261227,0.039374680400321396,0.04152969537584918,0.04152969537584918,2.278122
3.0,0.12305863866680562,0.033817132960336505,0.07843788581357106,0.04462075285323456,0.013593672763222944,0.004413530117929516,0.004413530117929516,2.136173
4.0,0.1265118846750999,0.038820358045190684,0.08266612136014535,0.043845763314954544,0.014241932576167314,0.016585541734270792,0.016585541734270792,2.442287
5.0,0.09040817982271701,0.002987283614696956,0.046697731718706975,0.04371044810401004,0.1336361254258014,0.04214341863918249,0.04214341863918249,1.032357
6.0,0.14889875922582568,0.05946461118366768,0.10418168520474669,0.04471707402107901,0.0030178326474622555,0.023923182441700913,0.008422496570644731,4.217775
7.0,0.1294623774257912,0.03940189368162743,0.08443213555370929,0.04503024187208188,-0.015610847674356654,0.0234695508551335,-0.014758378176780815,2.402967
8.0,0.14787022894048804,0.05627278221118433,0.10207150557583619,0.045798723364651864,0.016845703125,-0.0028076171875,-0.0028076171875,3.898859
9.0,0.15157439635261333,0.060541845457323974,0.10605812090496866,0.04551627544764467,0.037017822265625,0.0345458984375,0.041015625,4.158209
10.0,0.11150326346967501,0.020494042254118838,0.06599865286189692,0.04550461060777808,0.0029028071853015452,0.011338023359060145,0.011338023359060145,1.564732
11.0,0.14138624873222358,0.051130998065876024,0.09625862339904981,0.04512762533317378,-0.0004140572434139112,-0.0017079861290823645,-0.0017079861290823645,3.260718
12.0,0.11699463471492251,0.025602590165341787,0.07129861244013216,0.04569602227479034,0.04451088417092179,0.05230448804084922,0.05230448804084922,1.752221
13.0,0.1292567089045777,0.04103958514670865,0.08514814702564316,0.04410856187893455,0.037183139747242286,0.02231718898385563,0.02231718898385563,2.455113
14.0,0.140748200619966,0.04857304554042683,0.09466062308019643,0.046087577539769595,-0.003950617283950644,0.03355281207133058,0.010617283950617295,3.125487
15.0,0.14917789344109872,0.059980425876989686,0.10457915965904421,0.04459873378205453,0.016872832669116516,-0.006806065938616053,-0.006806065938616053,4.149433
16.0,0.09245827403054084,-0.00015465707199000534,0.04615180847927547,0.04630646555126538,0.03874269005847954,0.04012773160972609,0.04012773160972609,0.913696
17.0,0.15987941076712883,0.07169350179703607,0.11578645628208244,0.044092954485046375,0.004339416782384421,0.03612874429676656,0.015150763737353704,5.743182
18.0,0.13779315067611053,0.04749055174810017,0.0926418512121053,0.045151299464005194,0.012514792899408269,0.006183431952662702,0.006183431952662702,3.052799
19.0,0.12316866865696044,0.02986854260481806,0.07651860563088922,0.04665006302607117,0.01663194444444446,0.02131944444444444,0.02131944444444444,1.905758
20.0,0.16433364099893016,0.07307522186884245,0.11870443143388625,0.04562920956504387,0.008465137001559375,0.011221875696146091,0.0023390510135887534,5.767508
21.0,0.12733003455467157,0.037355281467935694,0.08234265801130367,0.04498737654336793,0.004910249739854317,0.007706815816857435,0.007706815816857435,2.281043
22.0,0.08465262100273573,-0.003919731946402294,0.04036644452816665,0.04428617647456906,0.03457592607095307,0.0720886522045579,0.04785026235413892,0.8537506
23.0,0.12157084653983882,0.03239308518002515,0.07698196585993203,0.044588880679906795,0.013592611862643066,0.013234911550468277,0.013234911550468277,2.063155
24.0,0.12510648514065886,0.03404543900701658,0.07957596207383773,0.04553052306682116,0.02204734651404787,0.02204734651404787,0.02204734651404787,2.111442
25.0,0.08871517690355536,-0.001970295261260091,0.043372440821147655,0.04534273608240771,0.09723211107155572,0.08170167319330723,0.05940726237095051,0.8767352
26.0,0.14279939806357184,0.05142457994694309,0.09711198900525744,0.04568740905831435,0.03009033203125,0.034393310546875,0.029632568359375,3.23831
27.0,0.1122113039420928,0.02283038711633223,0.06752084552921253,0.04469045841288027,0.026458740234375,0.009307861328125,0.009307861328125,1.639499
28.0,0.09402856807162899,0.002344715852694179,0.04818664196216157,0.04584192610946743,0.05950413223140498,0.02657024793388434,0.031239669421487617,0.99442
29.0,0.08833470017541459,-0.002639170444110839,0.04284776486565191,0.04548693530976268,0.06800774345593806,0.05689756754481946,0.05689756754481946,0.8697657
30.0,0.11512403272074309,0.02527398692325624,0.0701990098219997,0.044925022898743394,0.01666036785084407,0.02346308893927944,0.016345427059712786,1.732554
31.0,0.09840115229413723,0.00786016970151886,0.053130660997828094,0.045270491296309154,0.03169385601818035,0.05620485350215081,0.05620485350215081,1.115977
32.0,0.1287732745653546,0.040120780173704865,0.08444702736952972,0.04432624719582485,0.02187851146804147,0.015004296384427261,0.01847445303721326,2.496603
33.0,0.14154684417396968,0.054865418736753394,0.09820613145536154,0.04334071271860814,0.011904145748149655,0.023238962786605193,0.02279902696547794,3.669189
34.0,0.11939149706245819,0.028550085415980676,0.0739707912392194,0.04542070582323878,0.03575913807918568,0.02323352501817699,-0.009881684182695485,1.904218
35.0,0.10805138503267216,0.02015702192628819,0.06410420347948012,0.04394718155319201,0.018372415808313232,0.023887793118562334,0.01603477244502885,1.502925
36.0,0.11651924296462032,0.023031140093990477,0.06977519152930542,0.04674405143531492,0.028854166666666674,0.04576388888888891,0.037048611111111115,1.637352
37.0,0.09007468943428885,-0.0003527566302552465,0.04486096640201677,0.04521372303227211,0.0481404958677686,0.04719008264462814,0.04719008264462814,0.9180978
38.0,0.12874285858032225,0.03952127165069719,0.08413206511550973,0.04461079346481249,0.02815570672713532,0.01795162509448226,0.01795162509448226,2.48849
39.0,0.1616967636647808,0.06874542090053541,0.11522109228265809,0.046475671382122705,0.01100218445308758,0.020379348926421223,0.013026799509830045,5.235732
40.0,0.12965843347912626,0.03926583190670838,0.08446213269291733,0.04519630078620891,0.005498467640165858,0.008082446968331256,0.008082446968331256,2.464175
41.0,0.12337162574621854,0.0309692854295756,0.07717045558789706,0.04620117015832146,0.02782964665326057,0.007253662740591804,0.007253662740591804,1.923032
42.0,0.14384764643158943,0.05612606686205383,0.09998685664682162,0.0438607897847678,0.028523978789114918,0.033535341763300544,0.033535341763300544,3.717753
43.0,0.17779440575858407,0.0848541944346052,0.13132430009659468,0.04647010566198945,0.01936619718309858,0.016985717119619118,0.014357270382860499,7.747266
44.0,0.10333917763647964,0.01593841295059706,0.05963879529353834,0.04370038234294132,0.04777777777777778,0.05572916666666667,0.02093750000000001,1.428701
45.0,0.09607902646602028,0.006544193043430724,0.05131160975472545,0.044767416711294826,0.04905398495142085,0.08506830301702095,0.06194754912703628,1.101214
46.0,0.11158676611153377,0.019192409230239172,0.0653895876708865,0.046197178440647295,0.016684007134363833,0.01980529131985731,0.01980529131985731,1.449127
47.0,0.1059362429053297,0.013744917249249155,0.05984058007728945,0.046095662828040264,0.06158431485205401,0.05239155415110597,0.05239155415110597,1.335594
48.0,0.11384314824109716,0.021085796974696702,0.06746447260789692,0.046378675633200216,0.026234023020973107,0.023797754395876003,0.023797754395876003,1.550894
49.0,0.14017614659586503,0.04941368967033215,0.09479491813309857,0.04538122846276648,0.032746714190242845,0.009690354199153478,0.004900868790376475,3.154623
50.0,0.12078550536494954,0.028868349938531067,0.07482692765174029,0.04595857771320924,0.014572441560002432,0.014091701219878613,0.01613484766540471,1.902905
51.0,0.13093774074283523,0.041262275287536454,0.08610000801518583,0.04483773272764942,0.004107142857142889,0.014183673469387769,0.010306122448979601,2.614495
52.0,0.16941909185392995,0.07807359444069668,0.12374634314731334,0.045672748706616625,0.04977113827272274,0.035284945425280434,-0.004451486343745273,6.555507
53.0,0.1317361542954739,0.039396672188142114,0.08556641324180797,0.04616974105366593,0.014528000000000027,0.023199999999999985,0.023199999999999985,2.453026
