database,meangrade,gammaminusbeta,sum_coop,sum_comp,Modularity_eig,Modularity_opt,Modularity_greedy,Struc_Stab
0.0,0.05536069985498281,0.006835650136106466,0.031098174995544632,0.02426252485943817,0.015135006328556551,1.0,0.01558050908186717,1.502402
1.0,0.07390918502827386,0.024976201478308157,0.049442693253291016,0.02446649177498282,0.014030621480216806,1.0,0.01442160793905245,4.769138
2.0,0.05297420439724024,0.004032754822184401,0.028503479609712293,0.024470724787527952,0.02542169203105127,1.0,0.019014955484408562,1.262743
3.0,0.06038298729944665,0.008325475643132024,0.03435423147128935,0.026028755828157304,0.013806655559827434,1.0,0.018928617198513402,1.649514
4.0,0.07991403704513306,0.02774415410091784,0.053829095573025454,0.026084941472107617,0.023917471188217437,1.0,0.012294978375365345,5.697366
5.0,0.0462421466008221,-0.006079869356424936,0.020081138622198576,0.026161007978623526,0.037721813145459755,1.0,0.04023091068505053,0.6589099
6.0,0.05691581022596741,0.007326873118867496,0.03212134167241743,0.024794468553549977,0.014670186980609406,1.0,0.017518178670360134,1.560609
7.0,0.06803597265656981,0.017382291234567263,0.042709131945568544,0.02532684071100128,0.024627637630919474,1.0,0.018588871306393123,2.899057
8.0,0.038286779748792604,-0.010755629003491904,0.01376557537265032,0.02452120437614229,0.05156964980064181,1.0,0.032653779571807026,0.4964531
9.0,0.04873230860575367,-0.0015089412046439322,0.023611683700554872,0.02512062490519881,0.03019840007448733,1.0,0.024876630379962912,0.8808427
10.0,0.06805190626322431,0.016193980451481307,0.0421229433573528,0.0259289629058715,0.02425000853063833,1.0,0.02195786309734869,2.733715
11.0,0.06945988448458712,0.018235519452027518,0.043847701968307326,0.025612182516279804,0.017715323452371142,1.0,0.014028185090468655,3.048891
12.0,0.06103298090335509,0.010066657539452564,0.03554981922140385,0.025483161681951253,0.020926993891238456,1.0,0.019304540988508714,1.837119
13.0,0.05273949001251471,0.0026167504809334473,0.02767812024672402,0.02506136976579067,0.023289377734564912,1.0,0.024494016128571022,1.170242
14.0,0.03880707540616307,-0.011945275665175786,0.013430899870493626,0.025376175535669447,0.16121234337076312,1.0,0.09080320405343564,0.4712718
15.0,0.06718640930473865,0.01643075851780594,0.04180858391127231,0.025377825393466332,0.020699407146290625,1.0,0.019519307803236654,2.754362
16.0,0.05787893059119768,0.006274688179843224,0.032076809385520454,0.02580212120567723,0.023651541619569092,1.0,0.021655909664012894,1.450645
17.0,0.04733667835587945,-0.004907944585407051,0.021214366885236216,0.026122311470643228,0.018541918053563426,1.0,0.01602615182630208,0.7177479
18.0,0.07338729956634915,0.021610162100000066,0.04749873083317457,0.025888568733174574,0.02216304410835298,1.0,0.015532016270760868,3.867099
19.0,0.05044332289641185,-0.0006682351556929689,0.024887543870359435,0.02555577902605241,0.015162708164735052,1.0,0.022005323374588874,0.9445174
20.0,0.02671515953202789,-0.02312215044662466,0.0017965045427015694,0.024918654989326317,0.4124595384450285,1.0,0.2215733399219843,0.2343645
21.0,0.06115430748379446,0.00997581776989108,0.03556506262684276,0.02558924485695169,0.02470416468234677,1.0,0.025734088500941773,1.865538
22.0,0.0756453223673597,0.024572096255060388,0.05010870931121003,0.025536613056149696,0.01586243368804581,1.0,0.015249689507991899,4.714958
23.0,0.08746380966906317,0.03701540098042983,0.06223960532474651,0.025224204344316638,0.022559814446790977,1.0,0.01752338873293516,10.57118
24.0,0.066885796942409,0.01383890161072891,0.04036234927656895,0.026523447665840062,0.02535765997870952,1.0,0.011366877545390359,2.31646
25.0,0.04458774442609929,-0.005129781521965953,0.01972898145206665,0.024858762974032635,0.019071737344359577,1.0,0.0228842944133556,0.7136844
26.0,0.05254272220309208,0.0024348601054450824,0.027488791154268593,0.025053931048823485,0.025142179391041596,1.0,0.027050278790398626,1.132885
27.0,0.04031930359467647,-0.009901897242021037,0.015208703176327715,0.02511060041834874,0.09750413175094885,1.0,0.039844405318539305,0.5233659
28.0,0.04494649089463496,-0.006188131644963591,0.019379179624835655,0.02556731126979932,0.01267340677028319,1.0,0.02825712992304209,0.664318
